,Open,High,Low,Close,Date
153,38113.3800670322,38456.74385141988,37579.25862465137,37617.41015625,2000-08-04
154,37388.50498635655,37388.50498635655,36129.50430824454,36701.77734375,2000-08-07
155,36625.474272349275,37770.020343360186,36625.474272349275,36701.77734375,2000-08-08
156,37388.49812199519,40059.10513070913,37083.285892427884,39677.58984375,2000-08-09
157,39677.58400229358,41585.16015625,39296.068771502294,41585.16015625,2000-08-10
158,40593.22055619266,42119.2814793578,40059.09923308487,41585.16015625,2000-08-11
159,41966.68557559743,42806.019287109375,41279.95799345129,41508.8671875,2000-08-14
160,41508.8671875,41508.8671875,41508.8671875,41508.8671875,2000-08-15
161,42577.11930490654,42577.11930490654,40822.1484375,40822.1484375,2000-08-16
162,40440.614689823415,42348.19085443773,40288.008596654276,41051.0390625,2000-08-17
163,41051.050885218625,41661.47543369771,40059.110993940114,40135.4140625,2000-08-18
164,40135.41273584906,40745.83726415094,39753.89740566038,40440.625,2000-08-21
165,41203.65202239488,41814.07649680073,40898.43978519196,41737.7734375,2000-08-22
166,41966.67562151487,42042.97866809944,40898.432969330854,41051.0390625,2000-08-23
167,41508.85963687151,41585.16268767458,39906.495570006984,40974.73828125,2000-08-24
168,40745.833984375,41203.65234375,40211.71256510417,41203.65234375,2000-08-25
169,41737.773763020836,42729.71354166667,41203.65234375,41203.65234375,2000-08-28
170,41585.16166315543,41585.16166315543,40288.00983146067,40745.828125,2000-08-29
171,40440.616049757286,40440.616049757286,39296.0703125,39296.0703125,2000-08-30
172,38914.56960227273,38990.87267992424,37617.41728219697,37770.0234375,2000-08-31
173,37464.80952682187,38456.74949392713,37464.80952682187,37693.71875,2000-09-01
174,37083.28515625,37350.34585181971,36587.31529304913,37083.28515625,2000-09-04
175,36625.467489919356,37846.31640625,36091.34608902469,37846.31640625,2000-09-05
176,37159.590816326534,38227.83367346939,37083.28775510204,37388.5,2000-09-06
177,36625.4765625,37083.29501953125,36091.35502929688,36625.4765625,2000-09-07
178,37617.40918367347,37770.015306122456,36701.772448979595,37388.5,2000-09-08
179,37388.5,37388.5,37388.5,37388.5,2000-09-11
180,37388.5,37388.5,37388.5,37388.5,2000-09-12
181,37388.5,37388.5,37388.5,37388.5,2000-09-13
182,36625.4693877551,37388.5,35633.52959183674,37388.5,2000-09-14
183,37083.28408638535,37388.49630108811,35519.0714860337,35938.73828125,2000-09-15
184,34412.68737806578,34717.899682971016,30635.685104863434,34221.9296875,2000-09-18
185,32047.28960755814,34031.16944040698,31665.77425508721,32810.3203125,2000-09-19
186,34183.77247191011,34183.77247191011,32886.62039150281,33954.86328125,2000-09-20
187,33191.83620383523,33878.56384943182,31818.38091264205,33573.3515625,2000-09-21
188,32047.2806793136,32810.31117167821,30139.704448402077,30292.310546875,2000-09-22
189,30139.708349021086,31665.76953125,30139.708349021086,31665.76953125,2000-09-25
190,31284.260697260896,31970.98837110321,30673.83609828995,31513.169921875,2000-09-26
191,31284.259410511364,33954.86692116477,31284.259410511364,33573.3515625,2000-09-27
192,33649.64634596457,34336.373822412825,33001.070395985655,33916.70703125,2000-09-28
193,34412.683009141154,34412.683009141154,33268.13701105442,33649.65234375,2000-09-29
194,32428.798219183027,33268.13182015011,32428.798219183027,33039.22265625,2000-10-02
195,33039.22265625,33039.22265625,33039.22265625,33039.22265625,2000-10-03
196,31284.25361074172,32734.011704898046,31284.25361074172,32276.193359375,2000-10-04
197,32810.31772667254,32810.31772667254,32199.893210827468,32505.10546875,2000-10-05
198,31970.9807911558,32428.79913184061,31818.374677594198,31894.677734375,2000-10-06
199,31017.193202172257,31894.678372713417,31017.193202172257,31284.25390625,2000-10-09
200,30902.740076669255,31742.073757763974,30597.527828998445,30711.982421875,2000-10-10
201,30521.223294005104,30521.223294005104,28995.16212930485,29910.798828125,2000-10-11
202,29376.681020341206,30864.590838254593,29071.46875,29071.46875,2000-10-12
203,28232.129454880615,28232.129454880615,26477.159245523173,27163.88671875,2000-10-13
204,27163.886718749996,27163.886718749996,27163.886718749996,27163.88671875,2000-10-16
205,28995.16142314189,29720.04045872044,28079.52474662162,28232.130859375,2000-10-17
206,27469.101401306743,28308.43505523556,25485.22185565681,27736.162109375,2000-10-18
207,27888.769986804626,28842.558290046916,27736.163858285858,28461.04296875,2000-10-19
208,30368.6140145366,32695.8570483139,29910.795712809915,32314.341796875,2000-10-20
209,32428.803181765703,32657.712380695815,30711.984189789873,30979.044921875,2000-10-23
210,30979.042003785627,32123.587890625,30521.22364904988,32123.587890625,2000-10-24
211,32199.89159926471,32619.558432904414,31284.25487132353,32428.80078125,2000-10-25
212,31970.97553898738,32047.278583233172,31665.763362004203,31742.06640625,2000-10-26
213,31742.06640625,31742.06640625,31742.06640625,31742.06640625,2000-10-27
214,32428.802432105655,32734.01469029018,31284.25646391369,32047.287109375,2000-10-30
215,32428.79514672686,34336.37133182844,31284.249435665915,33802.25,2000-10-31
216,34717.888199013156,37350.34345805921,34374.52446957237,36243.94921875,2000-11-01
217,36167.64848572531,37617.40654738941,35480.92098283179,37083.28515625,2000-11-02
218,37388.491365551585,38304.12788878958,36854.37006032942,37350.33984375,2000-11-03
219,36701.77963867188,38075.23500976563,36243.961181640625,36625.4765625,2000-11-06
220,36778.0782081117,36854.38127493351,35480.92607214095,35862.44140625,2000-11-07
221,34870.50153756649,36091.35060671542,34031.167802526594,35862.44140625,2000-11-08
222,35175.71705649284,37388.50619887525,35175.71705649284,37312.203125,2000-11-09
223,37045.14419981061,37770.0234375,36396.56803977273,37770.0234375,2000-11-10
224,36625.471467391304,36625.471467391304,34488.985631793475,35099.41015625,2000-11-13
225,35099.40631456611,37541.10414514463,35099.40631456611,36930.6796875,2000-11-14
226,37464.81040039063,37770.022705078125,36243.961181640625,36625.4765625,2000-11-15
227,36854.37857142858,37464.80306122449,36472.86326530613,37388.5,2000-11-16
228,36739.921404803245,37922.618770897636,36320.25459747943,37083.28515625,2000-11-17
229,36701.77963867188,37579.26501464844,36549.17348632813,36625.4765625,2000-11-20
230,36472.86922338453,36587.32383391816,34832.35313906912,36015.05078125,2000-11-21
231,34946.81089305252,36091.35710134027,34794.20473194749,34870.5078125,2000-11-22
232,34069.32546669858,35328.3262958151,33878.56776531729,34870.5078125,2000-11-23
233,35099.40565664557,36205.799965387654,35099.40565664557,36167.6484375,2000-11-24
234,36625.46520618557,37388.49573131443,36320.252996134026,37006.98046875,2000-11-27
235,36472.865940824464,36625.47207446808,35862.44140625,35862.44140625,2000-11-28
236,34641.593360222345,36243.95781080532,34641.593360222345,35175.71484375,2000-11-29
237,34870.50458447802,35480.92917239011,34336.383070054944,34717.8984375,2000-11-30
238,33954.869277686405,35252.02158717105,33878.56620065789,34794.203125,2000-12-01
239,35442.77395125679,35633.531615149455,34488.985631793475,35099.41015625,2000-12-04
240,35480.93729739367,36854.39293471214,35480.93729739367,36778.08984375,2000-12-05
241,38227.84367698598,38304.14675817757,36625.47897196261,36739.93359375,2000-12-06
242,37121.43928571429,37731.86377551021,36549.16632653061,37388.5,2000-12-07
243,37006.99266098485,37998.932670454546,37006.99266098485,37770.0234375,2000-12-08
244,38151.53870558376,38456.75101522843,37235.90177664975,37579.265625,2000-12-11
245,37770.02331852792,38113.38716687817,37235.90177664975,37579.265625,2000-12-12
246,36854.38139560371,38227.83660289329,36854.38139560371,38075.23046875,2000-12-13
247,37006.98372529518,37808.16584718301,36930.68066606776,37159.58984375,2000-12-14
248,37006.98680787513,37121.44140625,36243.95615204265,37121.44140625,2000-12-15
249,36243.94791133572,37350.34211073439,36243.94791133572,37274.0390625,2000-12-18
250,36778.063485804414,37388.487776025235,36282.09375,36282.09375,2000-12-19
251,35099.406751336894,36778.07403074866,35099.406751336894,35671.6796875,2000-12-20
252,35099.41284433472,36930.686557952184,34946.80670153326,36701.77734375,2000-12-21
253,36663.61729116905,37006.98103270966,35709.82912022293,35938.73828125,2000-12-22
254,35938.73828125,35938.73828125,35938.73828125,35938.73828125,2000-12-25
255,36663.62360787899,36663.62360787899,35824.289872839094,35862.44140625,2000-12-26
